"","X","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"1",1,"female","group B","bachelor's degree","standard","none",72,72,74
"2",2,"female","group C","some college","standard","completed",69,90,88
"3",3,"female","group B","master's degree","standard","none",90,95,93
"4",4,"male","group A","associate's degree","free/reduced","none",47,57,44
"5",5,"male","group C","some college","standard","none",76,78,75
"6",6,"female","group B","associate's degree","standard","none",71,83,78
"7",7,"female","group B","some college","standard","completed",88,95,92
"8",8,"male","group B","some college","free/reduced","none",40,43,39
"9",9,"male","group D","high school","free/reduced","completed",64,64,67
"10",10,"female","group B","high school","free/reduced","none",38,60,50
"11",11,"male","group C","associate's degree","standard","none",58,54,52
"12",12,"male","group D","associate's degree","standard","none",40,52,43
"13",13,"female","group B","high school","standard","none",65,81,73
"14",14,"male","group A","some college","standard","completed",78,72,70
"15",15,"female","group A","master's degree","standard","none",50,53,58
"16",16,"female","group C","some high school","standard","none",69,75,78
"17",17,"male","group C","high school","standard","none",88,89,86
"18",18,"female","group B","some high school","free/reduced","none",18,32,28
"19",19,"male","group C","master's degree","free/reduced","completed",46,42,46
"20",20,"female","group C","associate's degree","free/reduced","none",54,58,61
"21",21,"male","group D","high school","standard","none",66,69,63
"22",22,"female","group B","some college","free/reduced","completed",65,75,70
"23",23,"male","group D","some college","standard","none",44,54,53
"24",24,"female","group C","some high school","standard","none",69,73,73
"25",25,"male","group D","bachelor's degree","free/reduced","completed",74,71,80
"26",26,"male","group A","master's degree","free/reduced","none",73,74,72
"27",27,"male","group B","some college","standard","none",69,54,55
"28",28,"female","group C","bachelor's degree","standard","none",67,69,75
"29",29,"male","group C","high school","standard","none",70,70,65
"30",30,"female","group D","master's degree","standard","none",62,70,75
"31",31,"female","group D","some college","standard","none",69,74,74
"32",32,"female","group B","some college","standard","none",63,65,61
"33",33,"female","group E","master's degree","free/reduced","none",56,72,65
"34",34,"male","group D","some college","standard","none",40,42,38
"35",35,"male","group E","some college","standard","none",97,87,82
"36",36,"male","group E","associate's degree","standard","completed",81,81,79
"37",37,"female","group D","associate's degree","standard","none",74,81,83
"38",38,"female","group D","some high school","free/reduced","none",50,64,59
"39",39,"female","group D","associate's degree","free/reduced","completed",75,90,88
"40",40,"male","group B","associate's degree","free/reduced","none",57,56,57
"41",41,"male","group C","associate's degree","free/reduced","none",55,61,54
"42",42,"female","group C","associate's degree","standard","none",58,73,68
"43",43,"female","group B","associate's degree","standard","none",53,58,65
"44",44,"male","group B","some college","free/reduced","completed",59,65,66
"45",45,"female","group E","associate's degree","free/reduced","none",50,56,54
"46",46,"male","group B","associate's degree","standard","none",65,54,57
"47",47,"female","group A","associate's degree","standard","completed",55,65,62
"48",48,"female","group C","high school","standard","none",66,71,76
"49",49,"female","group D","associate's degree","free/reduced","completed",57,74,76
"50",50,"male","group C","high school","standard","completed",82,84,82
"51",51,"male","group E","some college","standard","none",53,55,48
"52",52,"male","group E","associate's degree","free/reduced","completed",77,69,68
"53",53,"male","group C","some college","standard","none",53,44,42
"54",54,"male","group D","high school","standard","none",88,78,75
"55",55,"female","group C","some high school","free/reduced","completed",71,84,87
"56",56,"female","group C","high school","free/reduced","none",33,41,43
"57",57,"female","group E","associate's degree","standard","completed",82,85,86
"58",58,"male","group D","associate's degree","standard","none",52,55,49
"59",59,"male","group D","some college","standard","completed",58,59,58
"60",60,"female","group C","some high school","free/reduced","none",0,17,10
"61",61,"male","group E","bachelor's degree","free/reduced","completed",79,74,72
"62",62,"male","group A","some high school","free/reduced","none",39,39,34
"63",63,"male","group A","associate's degree","free/reduced","none",62,61,55
"64",64,"female","group C","associate's degree","standard","none",69,80,71
"65",65,"female","group D","some high school","standard","none",59,58,59
"66",66,"male","group B","some high school","standard","none",67,64,61
"67",67,"male","group D","some high school","free/reduced","none",45,37,37
"68",68,"female","group C","some college","standard","none",60,72,74
"69",69,"male","group B","associate's degree","free/reduced","none",61,58,56
"70",70,"female","group C","associate's degree","standard","none",39,64,57
"71",71,"female","group D","some college","free/reduced","completed",58,63,73
"72",72,"male","group D","some college","standard","completed",63,55,63
"73",73,"female","group A","associate's degree","free/reduced","none",41,51,48
"74",74,"male","group C","some high school","free/reduced","none",61,57,56
"75",75,"male","group C","some high school","standard","none",49,49,41
"76",76,"male","group B","associate's degree","free/reduced","none",44,41,38
"77",77,"male","group E","some high school","standard","none",30,26,22
"78",78,"male","group A","bachelor's degree","standard","completed",80,78,81
"79",79,"female","group D","some high school","standard","completed",61,74,72
"80",80,"female","group E","master's degree","standard","none",62,68,68
"81",81,"female","group B","associate's degree","standard","none",47,49,50
"82",82,"male","group B","high school","free/reduced","none",49,45,45
"83",83,"male","group A","some college","free/reduced","completed",50,47,54
"84",84,"male","group E","associate's degree","standard","none",72,64,63
"85",85,"male","group D","high school","free/reduced","none",42,39,34
"86",86,"female","group C","some college","standard","none",73,80,82
"87",87,"female","group C","some college","free/reduced","none",76,83,88
"88",88,"female","group D","associate's degree","standard","none",71,71,74
"89",89,"female","group A","some college","standard","none",58,70,67
"90",90,"female","group D","some high school","standard","none",73,86,82
"91",91,"female","group C","bachelor's degree","standard","none",65,72,74
"92",92,"male","group C","high school","free/reduced","none",27,34,36
"93",93,"male","group C","high school","standard","none",71,79,71
"94",94,"male","group C","associate's degree","free/reduced","completed",43,45,50
"95",95,"female","group B","some college","standard","none",79,86,92
"96",96,"male","group C","associate's degree","free/reduced","completed",78,81,82
"97",97,"male","group B","some high school","standard","completed",65,66,62
"98",98,"female","group E","some college","standard","completed",63,72,70
"99",99,"female","group D","some college","free/reduced","none",58,67,62
"100",100,"female","group D","bachelor's degree","standard","none",65,67,62
"101",101,"male","group B","some college","standard","none",79,67,67
"102",102,"male","group D","bachelor's degree","standard","completed",68,74,74
"103",103,"female","group D","associate's degree","standard","none",85,91,89
"104",104,"male","group B","high school","standard","completed",60,44,47
