"","...1","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"1",1,"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"Diesel","Manual","First",19.67,1582,126.2,5,11.665,12.5
"2",2,"Honda Jazz V","Chennai",2011,46000,"Petrol","Manual","First",18.1611502909962,1199,88.7,5,8.61,4.5
"3",3,"Maruti Ertiga VDI","Chennai",2012,87000,"Diesel","Manual","First",20.77,1248,88.76,7,11.665,6
"4",4,"Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Diesel","Automatic","Second",15.2,1968,140.8,5,11.665,17.74
"5",6,"Nissan Micra Diesel XV","Jaipur",2013,86999,"Diesel","Manual","First",23.08,1461,63.1,5,11.665,3.5
"6",7,"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"Diesel","Automatic","First",11.36,2755,171.5,8,21,17.5
"7",8,"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"Diesel","Manual","First",20.54,1598,103.6,5,11.665,5.2
"8",9,"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Diesel","Manual","Second",22.3,1248,74,5,11.665,1.95
"9",10,"Maruti Ciaz Zeta","Kochi",2018,25692,"Petrol","Manual","First",21.56,1462,103.25,5,10.65,9.95
"10",11,"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"Petrol","Automatic","First",16.8,1497,116.3,5,11.665,4.49
"11",12,"Maruti Swift VDI BSIV","Jaipur",2015,64424,"Diesel","Manual","First",25.2,1248,74,5,11.665,5.6
"12",13,"Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"Diesel","Automatic","First",12.7,2179,187.7,5,11.665,27
"13",14,"Land Rover Freelander 2 TD4 SE","Pune",2012,85000,"Diesel","Automatic","Second",0,2179,115,5,11.665,17.5
"14",15,"Mitsubishi Pajero Sport 4X4","Delhi",2014,110000,"Diesel","Manual","First",13.5,2477,175.56,7,32.01,15
"15",16,"Honda Amaze S i-Dtech","Kochi",2016,58950,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,5.4
"16",17,"Maruti Swift DDiS VDI","Jaipur",2017,25000,"Diesel","Manual","First",28.4,1248,74,5,11.665,5.99
"17",18,"Renault Duster 85PS Diesel RxL Plus","Kochi",2014,77469,"Diesel","Manual","First",20.45,1461,83.8,5,11.665,6.34
